序号,时间,方向,开仓价,实际开仓价,平仓价,实际平仓价,平仓时间,手数,初始止损,最终止损,止盈价,盈亏金额,盈亏百分比,平仓原因,持仓时间,ATR开仓时,ATR平仓时,保本触发,止损调整次数,调整详情,当时余额,点差成本,市场类型,信号信心度
1,2025-01-06 23:00,空,2636.2,2636.0499999999997,2637.27,2636.35,2025-01-07 03:00,0.01,2639.2749999999996,2636.2,2629.252,-0.3000000000001819,-0.3000000000001819,保本止损,4.0小时,2.0499999999999545,1.328571428571422,是,1,保本→2636.20,100.0,0.3,RANGING,0.7349999999999937
2,2025-01-08 15:00,多,2655.44,2655.59,2669.45,2668.222142857143,2025-01-08 18:45,0.01,2652.3362857142856,2655.44,2668.372142857143,12.632142857142753,12.632142857142753,止盈,3.8小时,2.5864285714286064,4.077142857142852,是,1,保本→2655.44,99.69999999999982,0.3,TRENDING,0.41937634569218285
3,2025-01-08 15:30,多,2657.73,2657.88,2653.43,2657.58,2025-01-08 19:30,0.01,2653.8908571428574,2657.73,2673.7264285714286,-0.3000000000001819,-0.3000000000001819,保本止损,4.0小时,3.1992857142857116,4.68999999999999,是,1,保本→2657.73,112.33214285714257,0.3,TRENDING,0.42969885171934247
4,2025-01-10 16:45,多,2688.12,2688.27,2687.89,2687.97,2025-01-10 20:30,0.01,2681.4351428571426,2688.12,2715.973571428571,-0.3000000000001819,-0.3000000000001819,保本止损,3.8小时,5.57071428571427,4.9035714285714675,是,1,保本→2688.12,112.03214285714239,0.3,TRENDING,0.410764432306484
5,2025-01-13 17:45,空,2661.86,2661.71,2662.25,2662.01,2025-01-13 22:45,0.01,2668.0940000000005,2661.86,2635.8849999999993,-0.3000000000001819,-0.3000000000001819,保本止损,5.0小时,5.195000000000131,2.2621428571428948,是,1,保本→2661.86,111.73214285714221,0.3,TRENDING,0.9686545526712255
6,2025-01-16 10:15,多,2701.23,2701.38,2715.39,2715.2335714285714,2025-01-16 15:45,0.01,2697.833142857143,2701.23,2715.3835714285715,13.853571428571284,13.853571428571284,止盈,5.5小时,2.8307142857142935,3.7792857142857366,是,1,保本→2701.23,111.43214285714203,0.3,TRENDING,0.44109165266823686
7,2025-01-16 15:30,多,2714.17,2714.32,2713.27,2714.02,2025-01-16 17:00,0.01,2709.8748571428573,2714.17,2732.066428571429,-0.3000000000001819,-0.3000000000001819,保本止损,1.5小时,3.579285714285756,4.344999999999994,是,1,保本→2714.17,125.28571428571331,0.3,TRENDING,0.5924237265847628
8,2025-01-15 19:00,多,2691.22,2691.37,2719.85,2718.391428571428,2025-01-16 18:30,0.01,2684.662857142857,2691.22,2718.5414285714282,27.021428571428256,27.021428571428256,止盈,23.5小时,5.464285714285714,4.43642857142858,是,1,保本→2691.22,124.98571428571313,0.3,TRENDING,0.45095038615764094
9,2025-01-17 17:45,多,2714.24,2714.39,2712.36,2714.0899999999997,2025-01-17 19:00,0.02,2709.7031428571427,2714.24,2733.1435714285717,-0.6000000000003638,-0.6000000000003638,保本止损,1.2小时,3.780714285714339,3.598571428571404,是,1,保本→2714.24,152.0071428571414,0.3,TRENDING,0.418162703504043
10,2025-01-21 01:45,多,2710.34,2710.4900000000002,2705.57,2706.4734285714285,2025-01-21 02:45,0.02,2706.6234285714286,2706.6234285714286,2725.825714285714,-8.033142857143503,-8.033142857143503,止损,1.0小时,3.0971428571428015,3.0214285714285194,否,0,无,151.40714285714103,0.3,TRENDING,0.5582072562116347
11,2025-01-21 02:45,空,2705.57,2705.42,2710.73,2709.3457142857146,2025-01-21 03:00,0.02,2709.1957142857145,2709.1957142857145,2690.4628571428575,-7.851428571429096,-7.851428571429096,止损,0.2小时,3.0214285714285194,3.4071428571427793,否,0,无,143.37399999999752,0.3,TRENDING,0.5329018201365254
12,2025-01-21 03:15,多,2712.43,2712.58,2731.41,2729.719285714285,2025-01-21 09:30,0.02,2708.2445714285714,2712.43,2729.869285714285,34.2785714285701,34.2785714285701,止盈,6.2小时,3.487857142857073,2.949999999999948,是,1,保本→2712.43,135.52257142856843,0.3,TRENDING,0.5464924952844905
13,2025-01-23 15:00,空,2740.71,2740.56,2741.59,2740.86,2025-01-23 15:45,0.02,2745.0068571428574,2740.71,2722.8064285714286,-0.6000000000003638,-0.6000000000003638,保本止损,0.8小时,3.5807142857142935,4.285000000000049,是,1,保本→2740.71,169.80114285713853,0.3,TRENDING,0.44602070843128905
14,2025-01-29 11:30,多,2763.87,2764.02,2759.26,2760.8271428571425,2025-01-29 12:15,0.02,2760.9771428571426,2760.9771428571426,2775.9235714285714,-6.38571428571504,-6.38571428571504,止损,0.8小时,2.4107142857142856,2.4957142857142247,否,0,无,169.20114285713817,0.3,TRENDING,0.4410182623743634
15,2025-01-29 17:30,空,2753.33,2753.18,2754.47,2753.48,2025-01-29 21:30,0.02,2757.8994285714284,2753.33,2734.2907142857143,-0.6000000000003638,-0.6000000000003638,保本止损,4.0小时,3.8078571428571064,3.8335714285714664,是,1,保本→2753.33,162.81542857142313,0.3,TRENDING,0.4726295725170137
16,2025-01-29 18:15,空,2752.55,2752.4,2754.47,2752.7000000000003,2025-01-29 21:30,0.02,2757.3285714285716,2752.55,2732.639285714286,-0.6000000000003638,-0.6000000000003638,保本止损,3.2小时,3.982142857142857,3.8335714285714664,是,1,保本→2752.55,162.21542857142276,0.3,TRENDING,0.5112086688599774
17,2025-01-29 18:30,空,2752.68,2752.5299999999997,2754.47,2752.83,2025-01-29 21:30,0.02,2757.3342857142857,2752.68,2733.2871428571425,-0.6000000000003638,-0.6000000000003638,保本止损,3.0小时,3.8785714285714414,3.8335714285714664,是,1,保本→2752.68,161.6154285714224,0.3,TRENDING,0.5188083440893838
18,2025-01-29 18:45,空,2751.56,2751.41,2754.47,2751.71,2025-01-29 21:30,0.02,2756.2485714285713,2751.56,2732.0242857142857,-0.6000000000003638,-0.6000000000003638,保本止损,2.8小时,3.907142857142844,3.8335714285714664,是,1,保本→2751.56,161.01542857142204,0.3,TRENDING,0.5420402744045664
